nome_cientifico,taxon_id_icmbio,consta_lista_ameacada,dado_sensivel
Cynolebias griseus,400387,True,False
Cryptops iporangensis,2024105,True,False
Altitatiayus campoi,2024732,True,False
Carcharhinus leucas,727198,True,False
Conorhynchos conirostris,1440383,True,False
Phaethornis major,2303040,True,False
Hypsolebias stellatus,2025478,True,False
Steindachneridion amblyurum,1810735,True,False
Tropidurus hygomi,231767,True,False
Actenosigynes mantiqueirensis,2302175,True,False
Hyphessobrycon cantoi,2303047,True,False
Ochyrocera rosinha,2303604,True,False
Hypanus berthalutzae,2303263,True,False
Pyrrhura amazonum,1320173,True,False
Trogon collaris eytoni,2026046,True,False
Knipolegus franciscanus,7358,True,False
Schiffornis turdina intermedia,2025996,True,False
Dactyloa pseudotigrina,2023316,True,False
Fluminagrion taxaense,2025127,True,False
Leporinus pitingai,598174,True,False
Altitatiayus rotundatus,2024736,True,False
Melanophryniscus admirabilis,1394538,True,False
Achirus mucuri,1502567,True,False
Teleocichla centisquama,457257,True,False
Bathytoshia centroura,2303323,True,False
Apostolepis vittata,1836953,True,False
Hypsolebias igneus,2025457,True,False
Eubalaena australis,11885,True,False
Tangara cyanocephala cearensis,2025989,True,False
Thalasseus acuflavidus,2303166,True,False
Poecilia pertapeh,2303179,True,False
Hypsolebias gilbertobrasili,2025453,True,False
Bothrops germanoi,2303240,True,False
Brasilomma enigmatica,2303201,True,False
Characidium vestigipinne,1951454,True,False
Girardia desiderensis,2028075,True,False
Cerradopatus sucuriuensis,2301453,True,False
Scarus zelindae,14269,True,False
Seira arenicola,2024317,True,False
Scartella itajobi,1742295,True,False
Megagidiella azul,2028039,True,False
Lepidocolaptes wagleri,7383,True,False
Lophiosilurus alexandri,663397,True,False
Merulaxis stresemanni,7435,True,False
Nyctibius leucopterus,2302331,True,False
Parancistrus nudiventris,1321035,True,False
Polyprion americanus,1020316,True,False
Atlantirivulus lazzarotoi,2025426,True,False
Ranacephala hogei,1253914,True,False
Procnias averano averano,2300277,True,False
Atlantoraja cyclophora,2303302,True,False
Carajas paraua,2027983,True,False
Leptasthenura platensis,7384,True,False
Gubernatrix cristata,2302767,True,True
Steindachneridion punctatum,1902636,True,False
Neomorphus geoffroyi dulcis,2025823,True,False
Pyrrhura pfrimeri,9148,True,False
Pseudonannolene gogo,2024253,True,False
Cynolebias leptocephalus,400382,True,True
Aegla inermis,2025191,True,False
Pseudosinella alfanjeunguiculata,2304162,True,False
Kingsleya attenboroughi,2300463,True,False
Sapajus flavius,2023758,True,False
Archisotoma catiae,2024347,True,False
Eukoenenia navi,2027996,True,False
Hypsolebias virgulatus,2025481,True,False
Iansaoniscus georginae,2028064,True,False
Sphyrna media,1022664,True,False
Heptapterus multiradiatus,866335,True,False
Petaloconchus myrakeenae,2026290,True,False
Delturus parahybae,866990,True,False
Fontitrygon colarensis,2303327,True,False
Thoropa petropolitana,519494,True,False
Anodontites iheringi,2026222,True,False
Caaeteboia gaeli,2302550,True,False
Metagonia diamantina,2024018,True,False
Poecilia akroa,2301305,True,False
Psophia obscura,2022933,True,False
Myrmecophaga tridactyla,13467,True,False
Automolus lammi,2022959,True,False
Carcharodon carcharias,10741,True,False
Stygichthys typhlops,1024735,True,False
Poneracantha wilsoni,2369443,True,False
Speothos venaticus,9374,True,False
Eurolophosaurus divaricatus,1251314,True,False
Balaenoptera borealis,10288,True,False
Crypturellus noctivagus noctivagus,2026044,True,False
Calamodontophis ronaldoi,1922680,True,False
Psalidodon uberaba,2300573,True,False
Pseudosinella serpentinensis,2304170,True,False
Epinephelus morio,2027536,True,False
Sphyrna mokarran,1011490,True,False
Parapoynx restingalis,1319894,True,False
Proceratophrys sanctaritae,2023135,True,False
Mergus octosetaceus,7434,True,False
Enyalius capetinga,2301683,True,False
Ceratophrys ornata,720585,True,False
Rowlandius potiguar,2024076,True,False
Cnesterodon carnegiei,335239,True,False
Hypocnemis hypoxantha ochraceiventris,2300339,True,False
Sphaenorhynchus canga,2300367,True,False
Cycloramphus stejnegeri,1085001,True,False
Leposternon scutigerum,1252371,True,False
Leontopithecus rosalia,12773,True,False
Monodelphis vossi,2300918,True,False
Hypsolebias carlettoi,2025443,True,False
Leopardus munoai,2302212,True,False
Coryphaspiza melanotis,2302764,True,False
