nome_cientifico,nome_popular,reino,filo,classe,ordem,familia,genero,grupo_taxonomico
Bokermannohyla vulcaniae,Perereca-do-Vulcão,Animalia,Chordata,Amphibia,Anura,Hylidae,Bokermannohyla,anfibios
Ischnotelson guanambiensis,,Animalia,Arthropoda,Arachnida,Scorpiones,Buthidae,Ischnotelson,aracnideos
Hyphessobrycon taurocephalus,Lambari,Animalia,Chordata,Actinopterygii,Characiformes,Acestrorhamphidae,Hyphessobrycon,peixes
Stegastes trindadensis,Donzela-de-Trindade,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Stegastes,peixes
Phrynomedusa vanzolinii,,Animalia,Chordata,Amphibia,Anura,Phyllomedusidae,Phrynomedusa,anfibios
Aegla okora,,Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,crustaceos
Odontesthes bicudo,Peixe-rei-bicudo,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,Odontesthes,peixes
Monomorium delabiei,,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Monomorium,insetos
Mobula birostris,Jamanta,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Mobulidae,Mobula,peixes
Arhinolemur gaiero,Piapara,Animalia,Chordata,Actinopterygii,Characiformes,Anostomidae,Arhinolemur,peixes
Steindachneridion parahybae,Surubim-do-paraíba,Animalia,Chordata,Actinopterygii,Siluriformes,Pimelodidae,Steindachneridion,peixes
Dermochelys coriacea,Tartaruga-de-casco-mole,Animalia,Chordata,Reptilia,Testudines,Dermochelyidae,Dermochelys,repteis
Pseudobatos horkelii,Cação-viola,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Pseudobatos,peixes
Myrmotherula minor,choquinha-pequena,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Myrmotherula,aves
Syndactyla ucayalae,bico-virado-peruano,Animalia,Chordata,Aves,Passeriformes,Furnariidae,Syndactyla,aves
Epiperipatus adenocryptus,,Animalia,Onychophora,Onychophora,Euonychophora,Peripatidae,Epiperipatus,outros
Ololygon muriciensis,,Animalia,Chordata,Amphibia,Anura,Hylidae,Ololygon,anfibios
Aspidoras mephisto,,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Aspidoras,peixes
Hypsolebias faouri,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Discocyrtus pedrosoi,aranha-alho,Animalia,Arthropoda,Arachnida,Opiliones,Gonyleptidae,Discocyrtus,aracnideos
Alouatta guariba guariba,Barbado,Animalia,Chordata,Mammalia,Primates,Atelidae,Alouatta,mamiferos
Epiperipatus paurognostus,,Animalia,Onychophora,Onychophora,Euonychophora,Peripatidae,Epiperipatus,outros
Pseudochthonius koinopoliteia,falso escorpião,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Chthoniidae,Pseudochthonius,aracnideos
Sparisoma amplum,Peixe-papagaio-de-recife,Animalia,Chordata,Actinopterygii,Perciformes,Scaridae,Sparisoma,peixes
Trichomycterus itacarambiensis,Bagrinho-de-caverna,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Trichomycterus,peixes
Atelocynus microtis,Cachorro-do-mato-de-orelhas-curtas,Animalia,Chordata,Mammalia,Carnivora,Canidae,Atelocynus,mamiferos
Spelaeogammarus bahiensis,,Animalia,Arthropoda,Malacostraca,Amphipoda,Artesiidae,Spelaeogammarus,crustaceos
Hippocampus patagonicus,Cavalo-marinho-mirim,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Hippocampus,peixes
Brachycephalus pernix,,Animalia,Chordata,Amphibia,Anura,Brachycephalidae,Brachycephalus,anfibios
Currhaeus polegattoi,,Animalia,Arthropoda,Insecta,Coleoptera,Lycidae,Currhaeus,insetos
Circoniscus mendesi,Tatuzinho-de-jardim,Animalia,Arthropoda,Malacostraca,Isopoda,Scleropactidae,Circoniscus,crustaceos
Spelaeogammarus titan,,Animalia,Arthropoda,Malacostraca,Amphipoda,Artesiidae,Spelaeogammarus,crustaceos
Ituglanis passensis,Bagrinho-de-caverna,Animalia,Chordata,Actinopterygii,Siluriformes,Trichomycteridae,Ituglanis,peixes
Camelobaetidius juparana,,Animalia,Arthropoda,Insecta,Ephemeroptera,Baetidae,Camelobaetidius,insetos
Coendou speratus,Coandu-mirim,Animalia,Chordata,Mammalia,Rodentia,Erethizontidae,Coendou,mamiferos
Hypsolebias radiseriatus,,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Megalobulimus cardosoi,Árua-do-Mato,Animalia,Mollusca,Gastropoda,Stylommatophora,Strophocheilidae,Megalobulimus,moluscos
Hypsolebias nielseni,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Hypsolebias auratus,Peixe-anual,Animalia,Chordata,Actinopterygii,Cyprinodontiformes,Rivulidae,Hypsolebias,peixes
Callicebus barbarabrownae,Guigó-da-caatinga,Animalia,Chordata,Mammalia,Primates,Pitheciidae,Callicebus,mamiferos
Charadrius wilsonia,batuíra-bicuda,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,aves
Penelope superciliaris alagoensis,,Animalia,Chordata,Aves,Galliformes,Cracidae,Penelope,aves
Lagothrix lagothricha,macaco-barrigudo,Animalia,Chordata,Mammalia,Primates,Atelidae,Lagothrix,mamiferos
Stegastes sanctipauli,,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Stegastes,peixes
Melanophryniscus montevidensis,Sapinho de Barriga Vermelha Uruguaio,Animalia,Chordata,Amphibia,Anura,Bufonidae,Melanophryniscus,anfibios
